filename, language, JavaScript, CSS, comment, blank, total
c:\Users\Jacek\Documents\Projekty\ChattingApp\src\App.test.js, JavaScript, 8, 0, 0, 2, 10
c:\Users\Jacek\Documents\Projekty\ChattingApp\src\actions\index.js, JavaScript, 54, 0, 0, 8, 62
c:\Users\Jacek\Documents\Projekty\ChattingApp\src\actions\types.js, JavaScript, 7, 0, 2, 4, 13
c:\Users\Jacek\Documents\Projekty\ChattingApp\src\components\App.css, CSS, 0, 26, 0, 6, 32
c:\Users\Jacek\Documents\Projekty\ChattingApp\src\components\App.js, JavaScript, 190, 0, 0, 13, 203
c:\Users\Jacek\Documents\Projekty\ChattingApp\src\components\Auth\Login.js, JavaScript, 116, 0, 1, 10, 127
c:\Users\Jacek\Documents\Projekty\ChattingApp\src\components\Auth\Register.js, JavaScript, 198, 0, 6, 14, 218
c:\Users\Jacek\Documents\Projekty\ChattingApp\src\components\Firebase.js, JavaScript, 16, 0, 1, 3, 20
c:\Users\Jacek\Documents\Projekty\ChattingApp\src\components\Messages\Message.js, JavaScript, 36, 0, 0, 7, 43
c:\Users\Jacek\Documents\Projekty\ChattingApp\src\components\Messages\Messages.js, JavaScript, 397, 0, 20, 50, 467
c:\Users\Jacek\Documents\Projekty\ChattingApp\src\components\Messages\MessagesForm.js, JavaScript, 325, 0, 1, 37, 363
c:\Users\Jacek\Documents\Projekty\ChattingApp\src\components\Messages\MessagesHeader.js, JavaScript, 98, 0, 0, 4, 102
c:\Users\Jacek\Documents\Projekty\ChattingApp\src\components\Messages\ModalFile.js, JavaScript, 53, 0, 0, 2, 55
c:\Users\Jacek\Documents\Projekty\ChattingApp\src\components\Messages\SkeletonMessages.js, JavaScript, 26, 0, 0, 3, 29
c:\Users\Jacek\Documents\Projekty\ChattingApp\src\components\Messages\TypingLoader.js, JavaScript, 66, 0, 0, 7, 73
c:\Users\Jacek\Documents\Projekty\ChattingApp\src\components\MetaPanel\MetaPanel.js, JavaScript, 88, 0, 0, 7, 95
c:\Users\Jacek\Documents\Projekty\ChattingApp\src\components\SidePanel\Channels.js, JavaScript, 368, 0, 6, 48, 422
c:\Users\Jacek\Documents\Projekty\ChattingApp\src\components\SidePanel\DirectMessages.js, JavaScript, 190, 0, 4, 27, 221
c:\Users\Jacek\Documents\Projekty\ChattingApp\src\components\SidePanel\Friends.js, JavaScript, 129, 0, 0, 19, 148
c:\Users\Jacek\Documents\Projekty\ChattingApp\src\components\SidePanel\OnDrop.js, JavaScript, 222, 0, 0, 24, 246
c:\Users\Jacek\Documents\Projekty\ChattingApp\src\components\SidePanel\SidePanelChannels.js, JavaScript, 50, 0, 0, 8, 58
c:\Users\Jacek\Documents\Projekty\ChattingApp\src\components\SidePanel\SidePanelFriends.js, JavaScript, 53, 0, 0, 12, 65
c:\Users\Jacek\Documents\Projekty\ChattingApp\src\components\SidePanel\Starred.js, JavaScript, 99, 0, 0, 14, 113
c:\Users\Jacek\Documents\Projekty\ChattingApp\src\components\SidePanel\UserPanel.js, JavaScript, 261, 0, 36, 33, 330
c:\Users\Jacek\Documents\Projekty\ChattingApp\src\components\Spinner.js, JavaScript, 10, 0, 0, 3, 13
c:\Users\Jacek\Documents\Projekty\ChattingApp\src\index.js, JavaScript, 59, 0, 0, 11, 70
c:\Users\Jacek\Documents\Projekty\ChattingApp\src\reducers\index.js, JavaScript, 83, 0, 0, 14, 97
c:\Users\Jacek\Documents\Projekty\ChattingApp\src\registerServiceWorker.js, JavaScript, 79, 0, 28, 11, 118
Total, -, 3281, 26, 105, 401, 3813
